Week Ending Date, Country, Abbrv, Percent Excess Deaths
01/05/2020,United States,USA,-4.19
01/12/2020,United States,USA,-3.82
01/19/2020,United States,USA,-3.68
01/26/2020,United States,USA,-2.62
02/02/2020,United States,USA,-2.63
02/09/2020,United States,USA,-1.8
02/16/2020,United States,USA,-2.36
02/23/2020,United States,USA,-1.05
03/01/2020,United States,USA,0.1
03/08/2020,United States,USA,0.46
03/15/2020,United States,USA,0.47
03/22/2020,United States,USA,2.03
03/29/2020,United States,USA,10
04/05/2020,United States,USA,26.4
04/12/2020,United States,USA,39.25
04/19/2020,United States,USA,37.97
04/26/2020,United States,USA,34.26
05/03/2020,United States,USA,25.83
05/10/2020,United States,USA,23.15
05/17/2020,United States,USA,20.07
05/24/2020,United States,USA,14.99
05/31/2020,United States,USA,12.18
06/07/2020,United States,USA,9.77
06/14/2020,United States,USA,9.1
06/21/2020,United States,USA,9.3
06/28/2020,United States,USA,10.51
07/05/2020,United States,USA,12.56
07/12/2020,United States,USA,17.27
07/19/2020,United States,USA,20.4
07/26/2020,United States,USA,22.7
08/02/2020,United States,USA,22.54
08/09/2020,United States,USA,21.17
08/16/2020,United States,USA,21.55
08/23/2020,United States,USA,19.81
08/30/2020,United States,USA,16.17
09/06/2020,United States,USA,14.07
09/13/2020,United States,USA,12.43
09/20/2020,United States,USA,12.37
09/27/2020,United States,USA,13.83
10/04/2020,United States,USA,10.11
10/11/2020,United States,USA,14.09
10/18/2020,United States,USA,10.67
10/25/2020,United States,USA,13.19
11/01/2020,United States,USA,14.72
11/08/2020,United States,USA,21.63
11/15/2020,United States,USA,22.15
11/22/2020,United States,USA,27.15
11/29/2020,United States,USA,29.03
12/06/2020,United States,USA,33.57
12/13/2020,United States,USA,40.51
12/20/2020,United States,USA,40.3
12/27/2020,United States,USA,41.55
01/03/2021,United States,USA,46.02
01/10/2021,United States,USA,36.98
01/17/2021,United States,USA,36.78
01/24/2021,United States,USA,34.12
01/31/2021,United States,USA,28.75
02/07/2021,United States,USA,25.06
02/14/2021,United States,USA,16.6
02/21/2021,United States,USA,13.96
02/28/2021,United States,USA,10.69
03/07/2021,United States,USA,6.1
03/14/2021,United States,USA,2.78
03/21/2021,United States,USA,2.06
03/28/2021,United States,USA,3.43
04/04/2021,United States,USA,1.11
04/11/2021,United States,USA,5.25
04/18/2021,United States,USA,2.76
04/25/2021,United States,USA,6.78
05/02/2021,United States,USA,7.21
05/09/2021,United States,USA,5.69
05/16/2021,United States,USA,6.27
05/23/2021,United States,USA,7.88
05/30/2021,United States,USA,5.49
06/06/2021,United States,USA,6.47
06/13/2021,United States,USA,5.01
06/20/2021,United States,USA,6.11
06/27/2021,United States,USA,5.76
07/04/2021,United States,USA,7.11
07/11/2021,United States,USA,6.14
07/18/2021,United States,USA,6.78
07/25/2021,United States,USA,9.77
08/01/2021,United States,USA,13.54
08/08/2021,United States,USA,19.96
08/15/2021,United States,USA,25.68
08/22/2021,United States,USA,31.69
08/29/2021,United States,USA,36.25
09/05/2021,United States,USA,37.78
09/12/2021,United States,USA,37.62
09/19/2021,United States,USA,36.21
09/26/2021,United States,USA,33.86
10/03/2021,United States,USA,32.1
10/10/2021,United States,USA,25.52
10/17/2021,United States,USA,23.02
10/24/2021,United States,USA,20.72
10/31/2021,United States,USA,19.34
11/07/2021,United States,USA,18.86
11/14/2021,United States,USA,19.76
11/21/2021,United States,USA,17.26
11/28/2021,United States,USA,18.97
12/05/2021,United States,USA,21.9
12/12/2021,United States,USA,22.85
12/19/2021,United States,USA,20.65
12/26/2021,United States,USA,20.79
01/02/2022,United States,USA,23.29
01/09/2022,United States,USA,23.97
01/16/2022,United States,USA,31.48
01/23/2022,United States,USA,35.53
01/30/2022,United States,USA,36.5
02/06/2022,United States,USA,30.97
02/13/2022,United States,USA,24.07
02/20/2022,United States,USA,14.65
02/27/2022,United States,USA,8.07
03/06/2022,United States,USA,5.93
03/13/2022,United States,USA,1.38
03/20/2022,United States,USA,0.98
03/27/2022,United States,USA,-1.75
04/03/2022,United States,USA,-1.42
04/10/2022,United States,USA,-1.7
04/17/2022,United States,USA,-0.97
04/24/2022,United States,USA,-0.88
05/01/2022,United States,USA,1.25
05/08/2022,United States,USA,1.57
05/15/2022,United States,USA,3.8
05/22/2022,United States,USA,4.4
05/29/2022,United States,USA,3.54
06/05/2022,United States,USA,5.15
06/12/2022,United States,USA,5.11
06/19/2022,United States,USA,5.53
06/26/2022,United States,USA,6.71
07/03/2022,United States,USA,6.55
07/10/2022,United States,USA,6.23
07/17/2022,United States,USA,7.34
07/24/2022,United States,USA,10.53
07/31/2022,United States,USA,8.68
08/07/2022,United States,USA,9.3
08/14/2022,United States,USA,7.72
08/21/2022,United States,USA,7.67
08/28/2022,United States,USA,7.37
09/04/2022,United States,USA,6.12
09/11/2022,United States,USA,6.43
09/18/2022,United States,USA,4.9
09/25/2022,United States,USA,5.18
10/02/2022,United States,USA,3.82
10/09/2022,United States,USA,2.16
